trial,common,reward_1_1,reward_1_2,reward_2_1,reward_2_2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow,Subject,Condition
93,0,0.462072444,0.408084778,0.470983723,0.600390339,2,1,0.775524946,1,2,2,1,1.288224926,1,0,0,74,story
94,1,0.445308065,0.440847593,0.510553857,0.573660415,2,1,1.505417234,1,1,2,1,0.900077779,1,0,0,74,story
95,1,0.459765135,0.461145344,0.490534641,0.587827603,1,2,0.802043219,2,2,2,1,0.823883322,2,0,0,74,story
96,0,0.465145571,0.467003171,0.470229486,0.584669754,2,1,0.988917521,2,1,1,2,1.855817172,2,0,0,74,story
97,1,0.431374539,0.473043452,0.494888185,0.560424024,1,2,0.809718927,1,1,1,2,0.687802914,2,1,0,74,story
98,0,0.464544492,0.45003269,0.4853339,0.593136977,1,2,0.764980679,1,2,1,2,1.322054574,2,1,0,74,story
99,1,0.484648198,0.470822592,0.47620877,0.596667167,1,2,0.904922597,2,2,2,1,0.728296033,2,0,0,74,story
100,1,0.48412725,0.462882183,0.448255172,0.619173363,1,2,1.122115809,2,2,2,1,0.855015277,2,1,0,74,story
101,0,0.438381883,0.458396854,0.427574663,0.635696016,2,1,0.793547837,2,1,1,2,1.221762294,2,1,0,74,story
102,1,0.508087068,0.472818009,0.422799826,0.639773268,2,1,1.19319604,1,1,2,1,0.65198435,2,1,0,74,story
103,1,0.484282825,0.551559699,0.405768341,0.640143127,1,2,0.845452209,1,1,2,1,0.587912937,2,1,0,74,story
104,1,0.479933773,0.583789338,0.371101987,0.64008493,1,2,0.674900275,1,1,2,1,0.667891156,2,0,0,74,story
105,0,0.473501357,0.605042872,0.386684081,0.647433292,2,1,0.976192679,2,1,1,2,1.363854953,2,0,0,74,story
106,1,0.504898671,0.625692612,0.36892866,0.637323556,1,2,1.097913115,2,2,1,2,0.764797458,2,1,0,74,story
107,1,0.539566401,0.621223996,0.392735779,0.624011992,2,1,0.830906304,2,2,2,1,0.742179267,2,0,0,74,story
108,1,0.535570691,0.608109152,0.382579582,0.629563936,2,1,0.62687007,2,2,1,2,1.040019094,1,0,0,74,story
109,1,0.528502929,0.599756322,0.392528773,0.623190991,2,1,1.101657701,1,1,1,2,0.523814704,1,1,0,74,story
110,1,0.534363007,0.578460762,0.4148384,0.607623259,1,2,0.573284161,1,1,1,2,0.469213845,1,1,0,74,story
111,0,0.568429954,0.57256752,0.402592382,0.60850995,2,1,0.784588977,1,2,2,1,1.265911702,1,0,0,74,story
112,1,0.561238802,0.600844682,0.360325453,0.562365745,2,1,0.818777835,1,1,1,2,0.534126629,1,1,0,74,story
113,0,0.590977364,0.624460952,0.340971276,0.579223663,1,2,0.601649715,1,2,1,2,1.265876143,2,1,0,74,story
114,0,0.62150621,0.641294815,0.338967749,0.564320562,2,1,0.732968176,2,1,1,2,1.143788059,1,1,0,74,story
115,1,0.644555363,0.651165678,0.343734591,0.530963258,2,1,1.225263991,1,1,1,2,0.521981587,1,1,0,74,story
116,1,0.643925298,0.645469055,0.331218872,0.517078274,2,1,0.922919873,1,1,2,1,0.653937707,1,0,0,74,story
117,1,0.638924812,0.678796962,0.342547409,0.531503279,1,2,1.065202081,2,2,2,1,0.790669032,1,1,0,74,story
118,1,0.61198402,0.683468417,0.359083226,0.533403321,1,2,0.919380206,2,2,1,2,0.688216368,1,1,0,74,story
119,0,0.601442183,0.615808416,0.339094325,0.519725579,1,2,1.239093283,2,1,2,1,1.720929209,1,0,0,74,story
120,1,0.643646119,0.617364967,0.331913454,0.532327008,1,2,1.215346233,2,2,1,2,0.804020081,1,1,0,74,story
121,1,0.64172509,0.617628174,0.278625117,0.536255004,1,2,1.469002598,2,2,1,2,0.739941435,1,0,0,74,story
122,1,0.668509741,0.638420686,0.285551588,0.525565981,1,2,0.554880664,2,2,2,1,0.76315389,1,0,0,74,story
123,0,0.679673764,0.594253829,0.267596072,0.544861887,1,2,0.831848628,1,2,1,2,1.83246489,2,1,0,74,story
124,1,0.716837148,0.578853718,0.28272162,0.507839703,1,2,0.885466179,2,2,1,2,0.603739885,2,0,0,74,story
125,1,0.740066021,0.61062166,0.299742956,0.519714459,1,2,0.667595832,2,2,2,1,0.664590158,2,0,0,74,story
126,1,0.740402785,0.591066618,0.26280829,0.49844262,2,1,0.756516336,1,1,2,1,0.638975937,1,1,0,74,story
127,1,0.735477101,0.563251712,0.264123723,0.536928132,1,2,0.92387847,1,1,2,1,0.633059215,1,0,0,74,story
128,1,0.744266297,0.604218061,0.296233561,0.51307084,2,1,0.924674639,1,1,1,2,0.509062374,1,0,0,74,story
129,1,0.74830692,0.592705102,0.276164038,0.504675879,2,1,1.020896874,2,2,1,2,0.557969811,2,1,0,74,story
130,1,0.745779226,0.630864986,0.301859373,0.488363231,1,2,0.752030125,2,2,1,2,0.780066906,2,1,0,74,story
131,0,0.738173104,0.665542298,0.339926693,0.524060272,1,2,0.752010839,2,1,1,2,1.242555805,2,1,0,74,story
132,1,0.740492482,0.632016972,0.311753529,0.51574184,1,2,1.243405916,1,1,2,1,0.597632708,2,1,0,74,story
133,1,0.701643787,0.64177185,0.332755306,0.539785557,1,2,0.774077256,1,1,1,2,0.676927764,2,1,0,74,story
134,0,0.696733157,0.636587894,0.337328144,0.530060096,1,2,0.76324309,1,2,2,1,1.080777702,2,1,0,74,story
135,0,0.669135483,0.648694534,0.344402392,0.502350447,2,1,0.849759718,2,1,1,2,1.528415729,2,1,0,74,story
136,0,0.636655019,0.661235973,0.362340227,0.504071219,1,2,1.311823109,1,2,1,2,1.145984002,2,0,0,74,story
137,1,0.648134098,0.641637557,0.375351775,0.519647837,2,1,0.978973243,1,1,1,2,1.151063271,2,1,0,74,story
138,0,0.668709072,0.568478582,0.371460974,0.539441716,2,1,0.755570998,1,2,2,1,1.152489565,2,1,0,74,story
139,0,0.675884601,0.549988337,0.36791272,0.547633864,1,2,1.088257532,2,1,2,1,0.916833489,2,1,0,74,story
140,1,0.672235115,0.552337431,0.3860623,0.546340432,2,1,0.788594834,1,1,1,2,0.690538879,2,1,0,74,story
141,0,0.684554579,0.564642814,0.376233033,0.558813237,2,1,0.985986582,1,2,2,1,1.083044463,2,1,0,74,story
